,,Nombre,Bt.LISTA 1,Bt.LISTA 2,Rubro,Artículo
,,GRANOLA MIX SIN PASAS X KG,"9240,00","7390,00",CEREALES,1897
,,GRANOLA MIX TROPICAL X KG,"13080,00","10510,00",CEREALES,1289
,,GRANOLA TRADICIONAL X KG,"7830,00","6270,00",CEREALES,1911
,,HARINA  DE ALMENDRAS S/ PIEL X KG,"34710,00","27790,00",HARINAS,1293
,,HARINA DE ALGARROBA X KG,"8530,00","6840,00",HARINAS,1291
,,HARINA DE ALMENDRAS C/PIEL,"25080,00","21390,00",HARINAS,2315
,,HARINA DE ARROZ X KG,"2900,00","2360,00",HARINAS,1294
,,HARINA DE AVENA X KG,"3960,00","3220,00",HARINAS,1295
,,HARINA DE COCO X KG,"11240,00","9050,00",HARINAS,1298
,,HARINA DE CHIA X KG.,"3400,00","2720,00",HARINAS,1297
,,HARINA DE GARBANZO X KG,"2940,00","2430,00",HARINAS,1299
,,HARINA DE LINO X KG,"4980,00","4030,00",HARINAS,1300
,,HARINA DE MAIZ BLANCO,"4702,50","3762,00",HARINAS,1739
,,HARINA INTEGRAL FINA X KG.,"2540,00","2070,00",HARINAS,1306
,,HARINA SOJA DESGR FINA X KG,"3510,00","2810,00",HARINAS,1305
,,HARINA TRIGO SARRACENO X KG,"10720,00","8590,00",HARINAS,2041
,,HARINILLA DE MAIZ ,"1920,00","1540,00",HARINAS,1822
,,HIBISCUS  FLOR X KG,"24130,00","19350,00",INFUSIONES Y HIERBAS,1849
,,"HIBISCUS EXTRACTO 60 cc ""SOMOS SETAS""","13370,00","11750,00",SUPLEMENTOS,2466
,,HIGOS EN ALMIBAR  X 450 GR,"6888,50","5519,00","DULCES, MIEL Y CHOCOLATES",1309
,,"HIGOS EN ALMIBAR X 3,8 KG","52610,00","46230,00",LINEA GOURMET,1308
,,HIGOS TIERNIZADOS X KG,"17670,00","14180,00",DESHIDRATADOS,1311
,,HIPÉRICO TINTURA MADRE X 60 CC,"5950,00","5080,00",SUPLEMENTOS,2370
,,HONGOS SECOS X KG,"61800,00","49550,00",ESPECIAS,1314
,,HUMO NATURAL X 250 ML,"5220,00","4180,00",LINEA GOURMET,1316
,,INFUSOR PARA TE,"2700,00","2490,00",PALADEAR HOME,1317
,,INFUSOR PINZA,"4100,00","3490,00",PALADEAR HOME,2012
,,JAZMIN XKG,"142950,00","126660,00",INFUSIONES Y HIERBAS,1654
,,JENGIBRE  MOLIDO X KG.,"19170,00","15410,00",ESPECIAS,1320
,,JENGIBRE EN TROZOS XKG,"68000,00","58000,00",ESPECIAS,1883
,,JENGIBRE GLASEADO X KG,"26300,00","21060,00",DESHIDRATADOS,1319
,,"JUGO DE ARANDANOS X 1,5 LTS.","4360,00","3480,00",BEBIDAS,1324
,,JULIANA SIN PAPA X KG,"17520,00","14030,00",ESPECIAS,1333
,,"KEFIR DE AGUA ""KE.LIVE"" SABORIZADO X 950 ML","4100,00","3520,00",BEBIDAS,2233
,,KIMCHI VERDE VIDA 360 ml ,"9350,00","7450,00",LINEA GOURMET,2395
,,KOMBUCHA  EYWA 354 ml,"4770,00","4460,00",BEBIDAS,2459
